Editeur,Nationalite,Chambre,Duree,Review_title,Review_score,Commentaire
Imane,Maroc,Chambre Double Standard,2 nuits · juin 2021,Le meilleur riad a marrakech je recommande vivement top,10,"A aimé  · Le service et personnel très attentionné la propreté la localisation le calme le responsable imad est très sympa
N'a pas aimé  · Rien"
Thibaut,Belgique,Suite Junior,6 nuits · octobre 2022,Tres beau Riad avec un personnel au petit soin,"8,0","A aimé  · L’emplacement, la gentillesse du personnel, le petit déjeuner, la propreté. Vraiment très sympathique séjour. Les plats de chaque dîner étaient vraiment très bon, on y a mangé tous les soirs. merci à chaque membre du personnel, réellement ça fait la différence. Bravo!
N'a pas aimé  · Le bruit lié à l’emplacement malheureusement. On a rien sans rien. Ça pourrait déranger d’entendre les mobilettes alors qu’on bronze sur la terrasse.
La douche est vraiment rustique. Elle fait le job mais ça mériterait une petite rénovation."
Elisabeth,Suisse,Chambre Double Standard,1 nuit · octobre 2022,Très joli et l’accueil au top,"8,0","A aimé  · Le Riad se trouve à l’entrée de la médina. Autour c’est très bruyant mais dès qu’on arrive dans le riad on se détend. La terrasse est magnifique
N'a pas aimé  · On entend les autres hôtes tousser ou quand ils vont au toilette"
Alina,Suisse,Chambre Double Standard,1 nuit · octobre 2022,Très bien,"8,0","A aimé  · Hammam et massages 
Localisation
Confort
N'a pas aimé  · Les draps étaient sales (poils et taches). On a du demander un changement."
Veth,France,Chambre Double Supérieure,2 nuits · octobre 2022,Très bonne expérience,"9,0","A aimé  · Le calme, la beauté du riad et cet effet cocooning l'impression d'être dans une bulle. Le riad est idéalement situé car très proche de la Médina. Très bon accueil et repas délicieux. Propreté irréprochable. Le séjour était vraiment très bien on reviendra si l'occasion se représente c'est sûr !
N'a pas aimé  · Petit bémol sur la fuite du pommeau de douche et chasse d'eau dans la chambre.
Le bruit de la sonnette d'entrée à partir d'une certaine heure devient un peu plus dérangeant, mais ce ne sont que quelques détails à améliorer."
Nicolas,France,Chambre Double Standard,2 nuits · octobre 2022,Bel endroit mais avec des chambres ou on camoufle la misère et petit déjeuner décevant,"8,0","A aimé  · Lieu très beau, très propre dans l’ensemble mais les chambres ne sont pas à la hauteur des 4 étoiles car il y a beaucoup d’endroits où on vous camoufle le mauvais état 
- tres grand lit 
- spacieux
N'a pas aimé  · - nourriture parfois douteuse 
- petit déjeuner un peu décevant"
Karim,Royaume-Uni,Chambre Double Supérieure,1 nuit · septembre 2022,Excellent,"9,0","A aimé  · Le personnel au petit soin et agréable, surtout la personne qui veille de nuit et le matin. et les équipements ainsi que le petit dej au top et varié
N'a pas aimé  · Tout était nickel."
Christophe,France,Chambre Double Supérieure,4 nuits · août 2022,Très bien,"8,0","A aimé  · L'emplacement, la déco, le personnel"
Erica,Suisse,Chambre Double Supérieure,1 nuit · septembre 2022,"plein les yeux, le coeur et le calme","9,0","A aimé  · le tout entre la décoration, la propreté et l’accueil.
N'a pas aimé  · rien car je recommande"
Mathilde,France,Suite Familiale Deluxe,2 nuits · août 2022,Riad très bien placé et très joli. Piscine très agréable. le personnel aux petits soins et repas très bons,10,A aimé  · Riad très bien placé et très joli
Laura,France,Chambre Double Standard,4 nuits · août 2022,incroyable,10,"A aimé  · le personnel est très accueillant, notamment Hamza qui a été incroyable tout au long de notre séjour. d’une gentillesse…!
N'a pas aimé  · rien"
Aurelle,France,Chambre Double Standard,3 nuits · août 2022,"Super riad, je recommande vivement. Le personnel est totalement à l'écoute, l'endroit magnifique","9,0","A aimé  · Le personnel est super, très à l'écoute de mes besoins et très accueillants
N'a pas aimé  · Rien à dire"
Loubna,France,Chambre Double Supérieure,1 nuit · août 2022,magnifique….. je vous le conseille sans hésiter,10,"A aimé  · pour être honnête j’ai tout aimé. un Riad au top propre odeur de rose bien située très bien même . Se trouve dans une rue calme et paisible le Riad ainsi que le personnel juste magnifique… je le conseille sans hésitation ! hâte d’y retourner. petit déjeuner bien équilibré . chambre spacieuse très grand lit juste parfait. merci pour votre accueil à très vite . loubna
N'a pas aimé  · j’ai tout aimé"
Noura,France,Chambre Double Supérieure,3 nuits · août 2022,un personnel au top ! une mention spéciale pour Hamza très souriant et très accueillant.,"9,0",A aimé  · l’établissement est très jolie et très bien situé dans une ruelle qui reflète l’authenticité marocaine.
Chloe,France,Chambre Double Supérieure,2 nuits · juillet 2022,Fabuleux,"9,0",N'a pas aimé  · mini tele
Anne,Belgique,Chambre Double Supérieure,5 nuits · juin 2022,"Très beau Riad, personnel hyper accueillant",10,"A aimé  · Le pt déjeuner sur la très belle terrasse, pas copieux mais juste bien avec 1 fruit frais et 1 spécialité, œufs au choix chaque jour. Le personnel super accueillant, et les massages incroyables.
N'a pas aimé  · Rien, tout était parfait, merci à l équipe"
Nadia,France,Chambre Double Supérieure,5 nuits · juin 2022,Parfait,"9,0",A aimé  · Tout était parfait le petit déjeuner l’emplacement
Priscilla,France,Chambre Double Supérieure,3 nuits · juin 2022,Fabuleux,"9,0","A aimé  · L endroit, l emplacement. Le personnel
N'a pas aimé  · L état des chambres, à besoin d un bon rafraîchissement aussi que la terrasse. 
Il décaissement demander nos choix pour petit déjeuner gâchis et devrait période des cocktails à la carte."
Anass,France,Chambre Double Standard,2 nuits · juillet 2022,Exceptionnel,10,"A aimé  · tres bon Riad , je recommande vivement."
Lisa,France,Chambre Double Standard,3 nuits · juillet 2022,très bon séjour,"8,0","A aimé  · calme, propre, une odeur de fleur d’oranger très agréable dans le riad, très reposant, chambre spacieuse et pratique, riad très beau, personnel adorable et serviable
N'a pas aimé  · chambre peu lumineuse"
Laurent,France,Chambre Double Supérieure,10 nuits · juin 2022,superbe,"9,0","A aimé  · tout personnel super sympa
N'a pas aimé  · rien"
Jihane,France,Suite Familiale Deluxe,3 nuits · juin 2022,Fabuleux,"9,0",A aimé  · le personnel est très agréable et aux petits soins. je recommande !
Julien,France,Chambre Double Standard,3 nuits · juin 2022,tres beau Riad avec des personnes très accueillantes et très aimables,"9,0","A aimé  · tres beau Riad avec des personnes très accueillantes et très aimables
N'a pas aimé  · Rien a signaler"
Diana,France,Chambre Double Standard,1 nuit · juin 2022,Magnifique séjour,"8,0","A aimé  · L’emplacement est parfait, le Riad est très beau et moderne, et grand + pour la piscine qui permet de se rafraîchir avec la chaleur de Marrakech :)
Les chambres sont très belles, spacieuses et lumineuse. Le Riad est a 5 minutes a pied de la place principale, et surtout, il est dans une petit ruelle (donc pas de bruits à l’extérieur). Le petit-déjeuner est très bon aussi (jus d’orange frais). Le personnel est vraiment gentil, et agréable et fait au mieux pour qu’on soit a l’aise et contents 🙂
N'a pas aimé  · Le Riad a besoin d’un petit coup de rafraîchissement (dans les petits détails de chambre) qu’on ne voit pas forcement au début (pression d’eau, matériel qui commence a se dégrader …). Pour le petit-déjeuner, j’aurai aimé avoir + de produits marocains (Amlou), ainsi que + de fruits frais. Petite déception lorsque j’ai demandé un petit déjeuner à emporter (ne serais-ce qu’un petit truc), vu que mon train partait très tôt, et que la réception m’a dit que ce n’est pas possible. Nous avons diné aussi à l’hôtel (je n’ai pas aimé la Harira), pour le prix qu’on paye."
Manon,France,Chambre Double Standard,3 nuits · juin 2022,un très bon séjour malgré la chaleur! on reviendra,"8,0","A aimé  · le lieu, les chambres, la terrasse, la piscine . le personnel
N'a pas aimé  · la Clim ne fonctionnait pas"
Camille,France,Suite Junior,4 nuits · juin 2022,excellent,10,"A aimé  · tres bel etablissement situation ideale personnel tres serviable et devoue rien a redire un sejour extra      a recommencer
N'a pas aimé  · les marches"
Océane,France,Chambre Double Supérieure,1 nuit · juin 2022,Fabuleux,"9,0","A aimé  · l’insonorisation
la beauté"
Laurence,France,Chambre Double Standard,6 nuits · juin 2022,Fabuleux,"9,0","A aimé  · La déco, la gentillesse du personnel, l'emplacement
N'a pas aimé  · Rien"
Nathalie,France,Chambre Double Supérieure,3 nuits · juin 2022,Bravo à toute l'équipe du Riad qui est adorable et qui répond à toutes nos demandes.,"8,0","A aimé  · La situation géographique et la disponibilité du personnel.
Le petit déjeuner et la grandeur du Riad.
La possibilité de réserver navette pour l'aéroport et excursions directement depuis le Riad.
N'a pas aimé  · Un gros manque au niveau décoration de la chambre et la terrasse du haut qui aurait besoin d'une rénovation.
Le Riad propose des excursions qui en faite sont des transports d'un point A à un point B.
La propreté pourrait encore être meilleure."
Larbi,Maroc,Suite Junior,1 nuit · juin 2022,Extraordinaire,10,"A aimé  · Le riad est incroyable, mieux que ce à quoi je m’attendais, très bien situé, très beau, le personnel est remarquable, à l’écoute et au petit soin, je conseille vivement ce riad vous ne serez pas déçu,j’y retournerai sûrement!"
Delphine,France,Chambre Double Supérieure,4 nuits · mai 2022,Un pur moment de plaisir entre amis 😁,"9,0","A aimé  · Riad typique de toute beauté. 
emplacement au top pour visiter ou pour golfer mais surtout une gentillesse et un Acceuil extraordinaire du personnel qui est extrêmement serviable bienveillant tout en restant discret. 
N’hésitez pas à prendre vos repas sur place la cuisine d’Abdel et les petits dej de Leïla sont fantastiques avec jus d’orange frais chaque matin. 
Houssine Hamza Imad le responsable et la dame qui nous faisait les chambres ( don’t je ne connais pas le prénom ) sont aussi adorables et ont permis que notre séjour soit une réussite ! 
nous étions un groupe de 13 personnes et nous sommes tous d’accord sur le fait que nous reviendrons une prochaine fois chez vous . 
continuez comme cela votre équipe est extraordinaire. Vous nous manquez déjà.
N'a pas aimé  · Si on veut chipoter la Wifi qui est aléatoire et peut être pénible si vous devez travailler à distance."
Severine,France,Chambre Double Standard,5 nuits · mai 2022,Riad à recommander,10,"A aimé  · L'emplacement du riad très bien placé
On peut tout faire à pieds.
Un excellent accueil, imman a le sourire et répond à nos attente.
Très bonne cuisine fait maison 
Bref tout le personnel est accueillant gentil souriant.
Je vous lerecommande
N'a pas aimé  · WiFi pas toujours accès  réseau faible.
Manque de prise dans les chambres."
Véronique,France,Chambre Double Supérieure,2 nuits · mai 2022,"Riad bien placé à proximité Place Jemaa El Fna, dommage qu'il soit vieillissant, personnel adorable","8,0","A aimé  · J'ai apprécié l'espace piscine avec balancelles et transats, coins salons pour se reposer et déjeuner ainsi que la disponibilité et la gentillesse du personnel qualifié.
N'a pas aimé  · Les chambres sont vieillottes, meubles défraichis... aménagement terrasse vieillot non conforme aux photos !"
Tara,France,Chambre Double Supérieure,3 nuits · mai 2022,Riad apaisant qui satisfait tous les besoins d’un séjour dans la Médina,"9,0","A aimé  · le calme 
la gentillesse du personnel 
l’emplacement
N'a pas aimé  · rien"
Michèle,France,Chambre Double Supérieure,4 nuits · mai 2022,Très agréable Riad,"8,0","A aimé  · Très bien
N'a pas aimé  · Piscine froide"
Abdelhadi,Maroc,Suite Junior,1 nuit · mai 2022,Exceptionnel,10,"A aimé  · très propre et très bien situé 
je n’ai pas eu besoin de bouger la voiture
jamaa lafna et place bahia a 5min de marche 
personnel très aimable et très accueillant"
Claire,France,Chambre Double Standard,3 nuits · mai 2022,"séjour exceptionnel !  super Riad , super bien placé dans la médina. très propre, l’odeur de la fleur d’oranger …Imad et",10,"A aimé  · l’emplacement 
le personnel est d’une gentillesse incroyable 
le petit dej 😋
la literie 
la beauté du Riad
N'a pas aimé  · le wifi pas top 
Clim moyenne 
notre chambre donnait sur la rue passante , alors fenêtre ouverte s’était bruyant mais on a avait qu’à demander à changer !"
Camille,France,Chambre Double Standard,1 nuit · mai 2022,Fabuleux,"9,0","A aimé  · Super accueil et localisation géniale !!! 
Bel endroit pour séjourner à Marrakech. Et les massages au top ! 
De supers conseils sur les points clés à visiter, très appréciable !
N'a pas aimé  · Rien"
Carole,France,Suite Familiale Deluxe,2 nuits · avril 2022,Fabuleux,"9,0","A aimé  · la beauté du Riad, le roof top, le petit dejeuner,l.emplacement"
Annick,France,Chambre Double Supérieure,1 nuit · avril 2022,Fabuleux,"9,0","A aimé  · le calme, l’emplacement et la sympathie des hôtes"
Amandine,Belgique,Chambre Double Standard,1 nuit · avril 2022,séjour paisible et reposant,"9,0","A aimé  · l’emplacement était parfait ! le personnel était super accueillant et sympathique. Ce Riad est propre et surtout frais, apaisant et lumineux.
N'a pas aimé  · Rien à reprocher !"
Delphine,France,Suite Familiale Deluxe,3 nuits · avril 2022,Parfait pour découvrir la ville,10,"A aimé  · cadre charmant, personnel d’une extrême gentillesse, massage excellent 
à proximité de la grande place et des souks 
dans une ruelle au calme
N'a pas aimé  · RAS"
Salomé,France,Chambre Double Supérieure,3 nuits · mars 2022,"super séjour en couple, emplacement idéal pour se promener dans la médina! Et le personnel est toujours aux petits soins","9,0",A aimé  · le personnel et l’emplacement
Juliette,France,Chambre Double Standard,2 nuits · avril 2022,Très agréable séjour avec un personnel aux petits soins,"8,0","A aimé  · J'ai beaucoup aimé la décoration du riad,  le fait d'avoir différents endroits pour se poser et se détendre sont un gros +.
Ce qui est très important dans ce riad c'est lla gentillesse du personnel qui n'hésite pas à nous aider pour quoi que ce soit et nous donner des bonnes adresses 😁. 
Les chambres le soir sont très calme et à l'abris de la lumière ce qui permet de se reposer ( ce n'est pas le cas dans tous les riads) 
Le soin spa était parfait, très très bon massage surtout pour le prix très raisonnable ! 
Nous avons aimé l'effort de ne pas manger la même chose au petit déjeuner les 2 jours
N'a pas aimé  · Le repas le soir était en dessous de la qualité du riad.
Il y avait des odeurs dans la salle de bain et les toilettes.
Le WiFi ne fonctionne pas très bien."
