Titre,Auteur,Date de publication,Nombre des Vus,Text Article,Lien
"Saïd Taghmaoui rejoint le casting de la comédie ""The Family Plan"" sur Apple TV+",LE MATIN,04 novembre 2022 à 10:20,,"
Nouveau rôle pour Saïd Taghmaoui. L’acteur marocain a été choisi pour faire partie du casting de la nouvelle comédie d’Apple TV intitulée “The Family Plan”, rapporte Deadline.
Saïd Taghmaoui rejoint donc Mark Wahlberg (""Uncharted: Off the Map"") et Michelle Monaghan (""Best Friend of the Bride"") qui se partagent l’affiche.
Le film écrit par David Coggeshall (Prey) raconte l'histoire d'un papa de banlieue qui doit emmener sa famille en fuite lorsque son passé le rattrape. Simon Cellan Jones (Arthur le roi) réalise, avec Stephen Levinson et Wahlberg de Municipal Pictures produisant aux côtés de David Ellison de Skydance, Dana Goldberg et Don Granger.
Taghmaoui a récemment terminé le tournage du thriller d'action de Brad Furman Tin Soldier face à Jamie Foxx, Robert De Niro et Scott Eastwood. L'acteur phare de ""La Haine"" est égalemet apparu récemment face à Ralph Fiennes et Jessica Chastain dans le drame The Forgiven de Vertical Entertainment et Roadside Attractions.


",https://lematin.ma/express/2022/id-taghmaoui-rejoint-casting-comedie-the-family-plan/382734.html
Assilah : un atelier de théâtre pour une meilleure prise de conscience féminine,"Nadia Ouiddar,",03 novembre 2022 à 15:01,,"L'association ZeliArt’s a organisé, dans le cadre du Moussem culturel international d'Assilah qui se poursuit jusqu'au 5 novembre, un atelier de théâtre au profit des femmes inscrites à la maison de solidarité Dar Al-Sabah. La formation est assurée par Khouloud Betioui, Badria Hassani et Fatima Boujou. Les trois artistes marocaines apprennent aux bénéficiaires à exprimer leurs maux, à se libérer de leur timidité et de leurs non-dits.

Des femmes font des jeux de concentration, d’autres des exercices de respiration ou de développement personnel. Une ambiance particulière anime la maison de solidarité Dar Al-Sabah à Assilah. Cet espace, qui propose d’habitude des cours de couture, de cuisine ou d’alphabétisation, accueille dans le cadre du Moussem culturel international d’Assilah un atelier de théâtre dédié aux femmes. Une première pour les «zaïlachiyates» lambda qui intègrent la programmation du festival. Derrière cette initiative, l’actrice et professeure d’enseignement artistique Khouloud Betioui via son association ZeliArt’s. «Originaire d’Assilah, je voulais apporter quelque chose à ma ville et aider ses femmes dont j’ai côtoyé certaines à l’école. J’ai donc pensé à un atelier de théâtre et à Dar Al-Sabah qui accueille déjà des femmes ayant la volonté de changer leur vie et d’apprendre de nouvelles choses», explique l’actrice marocaine.
Dans cette expérience soutenue par la Fondation du Forum d’Assilah, Khouloud est soutenue par une autre zailachie : la scénographe et chef décoratrice Badria El Hassani ainsi que par l’actrice et professeure d’enseignement artistique Fatima Boujoun de Kénitra. Les trois femmes partagent avec leurs compatriotes leur savoir pour les aider à évoluer et à avoir confiance en soi. «Nous avons déjà les infrastructures. Cet atelier ne coûte rien à part la volonté d’aider. On ne doit pas être avare. Partager des connaissances qui bénéficient à la société est mieux que de donner de l’argent», affirme Khouloud Betioui. Programmé les 30 octobre et 1er novembre, l’atelier de théâtre a d’abord bénéficié aux femmes inscrites à Dar Al-Sabah.
«On se concentre actuellement sur ces femmes qui ont déjà une motivation de changer leur vie. C’est une sorte d’étude de terrain d’un projet qu’on développerait par la suite», explique la présidente ZeliArt’s. Selon Khouloud, qui envisage d’autres projets dans le même cadre, cette première étape est nécessaire pour déterminer les besoins des bénéficiaires, mais un travail sur le long terme permettrait de toucher l’effet de l’atelier sur les femmes de la ville. Ces dernières se disent ravies d’une telle initiative. Elles apprennent à gérer leur colère, peur… et à prendre du temps pour elles. Grâce aux exercices de leurs encadrantes, certaines trouvent le courage de se confier et de partager leurs histoires. Les trois artistes marocaines apprennent à ces femmes de penser à elles, d’exprimer leurs maux, de se libérer de leur timidité et de leurs non-dits et surtout de donner de la valeur à leurs réalisations à la maison ou ailleurs. Elles leur inculquent qu’un moment de détente, aussi court qu’il soit, se répercute positivement sur elles et sur leur entourage. L’atelier accueille environ une cinquantaine de femmes de différentes catégories d’âge. Les exercices varient d’un groupe à l’autre. «La matinée, nous avons accueilli des femmes âgées de 17 à 56 ans. L’après-midi, les bénéficiaires sont âgées de plus de 66 ans. Pour ces dernières, nous nous concentrons surtout sur des exercices de stimulation cognitive», souligne Khouloud Betioui. Cet atelier a pour objectif d’inciter les femmes à prendre conscience de leurs rôles en tant qu’actrices dans la vie sociale.

",https://lematin.ma/express/2022/assilah-atelier-theatre-prise-conscience-feminine/382702.html
Dans le cocon des artistes d'Assilah,"Nadia Ouiddar,",02 novembre 2022 à 16:08,,"Des ateliers de peinture, gravure, sculpture, lithographie,... le Moussem culturel international d'Assilah qui se poursuit jusqu'au 5 novembre réunit des artistes marocains et étrangers autour de la créativité et le vivre ensemble.

Sous les remparts d’Assilah, de ruelle en ruelle au sein de l’ancienne médina en blanc et bleu, on découvre un endroit effervescent et apaisant. Dans la ruelle derrière le Palais de la culture, une petite porte ordinaire nous introduit chez ceux qui font la magie de la ville d’Assilah. Des artistes marocains et étrangers se réunissent dans cet espace pour créer, échanger et partager leurs inspirations avec le public du Moussem culturel international d’Assilah. Cet atelier est effervescent de créativité tout au long de l’année mais surtout le temps du festival, en sessions d’automne et d’été, où on invite des artistes de différents horizons à y créer. Le Moussem d’Assilah invite actuellement des artistes du Maroc, de Bahrein, de Syrie, d'Espagne, des Émirats arabes unis et du Japon à travailler dans cet espace pour préparer une exposition programmée le 4 novembre au Palais de la culture. La fierté de cet atelier pour la 43e édition du festival est un nouvel appareil de lithographie. Selon le peintre et graveur marocain Moulay Youssef El Kahfai, participant à l’atelier de lithographie, cette nouvelle acquisition artistique permet de diversifier les modes d’expression.
«Sa spécialité est de dessiner sur une surface sans avoir recours à la gravure. On y utilise des plaques de métal en zinc ou cuivre, explique-t-il. L’appareil de lithographie permet, grâce à des techniques spécifiques, de mettre de l’encre sur le papier». Et d’ajouter qu’il s’agit d’un procédé chimique qui permet aux artistes de diversifier leurs créations. L’atelier de lithographie invite également les artistes Ali Ali Sultan (Espagne/Syrie) et Akemi Noguchi (Japon). L’espace de création zailachi accueille également un atelier de peinture invitant 11 artistes de différents pays. Parmi eux, la Marocaine Saoussan Melehi. D’un air spontané et jovial, la jeune artiste s’adonne à ses créations pleines de couleurs et de sensibilité. «Je travaille avec mon style et mes matériaux préférés tels que le recyclage de papier et je me laisse guidée par l’inspiration du festival et le cadre ambiant», nous confie l’artiste plasticienne polyvalente. Saoussan utilise la laine, le papier et bien d’autres matières pour montrer qu’on peut réutiliser d’une belle manière les choses qui nous dérangent dans ce monde. «Tout ce qui est laid peut être beau», tel est son message. Grâce à un style et une technique qui lui sont propres, Saoussan Melehi met en lumière la sensibilité féminine. Elle utilise la couture avec des styles revisités pour «unifier les sentiments humains et retrouver la chaleur humaine». On touche son attachement pour les sentiments de la femme, la terre et l’environnement dans toutes les expositions où elle participe.
*************
Atelier pour enfants
Au sein de l’atelier de création artistique à Assilah, un espace joyeux dédié aux enfants, l’espoir et pari du Moussem culturel international d’Assilah. Depuis 1980, les personnes supervisant cette expérience ont agi de sorte à «ériger l’art plastique en un déclencheur d’émotions innocentes inhérentes à la sensibilité et à la conscience de l’enfant». Les travaux de cet atelier sont dirigés par l’artiste Kawtar Echrigui, qui a mérité le surnom de «mère plasticienne» pour les efforts déployés en faveur de générations d’enfants et de jeunes artistes issus de la ville d’Assilah. Dans cet espace, les enfants apprennent les modes d’utilisation des outils de dessin mais également ce que signifie la création d’une toile en termes de patience et de discipline, pour parvenir ensuite au stade de l’organisation, par leurs propres soins, d’expositions et de présentation de leurs créations. Cet atelier pour enfants a permis de former de grands artistes sur la scène nationale et internationale.
***********
Artistes invités à l'atelier de peinture

Lobna Al Ameen (Bahreïn)
Khaled Al-Saai (Syrie)
Mohammed Anzaoui (Maroc)
Lamia Belloul (Maroc)
Souhail Ben Azzouz (Maroc)
Noam Chaoudri (Maroc)
Narjiss El Joubari (Maroc)
Mohamed Amine El Kasbi (Maroc)
Najat Mekki (EAU)
Esther Martinez Recuero (Espagne)
Saoussan Melehi (Maroc)

",https://lematin.ma/express/2022/cocon-artistes-assilah/382662.html
Festival du film de la mer Rouge : «Un été à Bejaâd» en lice pour les Prix «Al Yousr»,"O.B,",02 novembre 2022 à 14:02,,"Le premier long métrage de Omar Moul Douira «Sayfoun fi Bejaâd» (Un été à Bejaâd) représente le Maroc au Festival international du film de la mer Rouge qui se déroulera, du 1er au 10 décembre à Djedda, autour de la thématique «Le cinéma c’est tout».

Participeront à cette deuxième édition du festival, 131 films représentant 61 pays, dont 34 films en avant-première mondiale, 17 films en avant-première arabe et 47 films en avant-première au Moyen-Orient et en Afrique du Nord. Ces longs métrages seront en lice pour les Prix «Al Yousr», dont la valeur financière est estimée à 670.000 dollars. À noter que le film «Un été à Bejaâd» du réalisateur Omar Moul Douira raconte l'histoire du jeune Karim âgé de 13 ans, qui a voyagé avec son père, Messaoud, de Paris au Maroc, sept ans après le décès de sa mère. Et ce suite à la décision de son père de se remarier et de retourner définitivement dans son pays natal. Toutefois, l’histoire prend une autre tournure qui nous pousse à repenser la réalité de nos liens familiaux. Ainsi, après toute une année passée à l'internat français de Casablanca, Karim retrouve sa nouvelle famille pour passer l'été dans la ville de Bejaâd. Mais, avec les souffrances de ses problèmes d'adolescence, Karim a du mal à s’intégrer dans la nouvelle société. Par ailleurs, le casting des personnages réunit des acteurs très réputés, dont Azelarab Keghat, Laila El Fadili, Hatim Seddiki, Yasser Kazzouz, Adam Marjane, Hiba Aouad, Ahmed El Malkouni, Ahmed Yahya Karimi et Amine Halimi. Rappelons que ce film marocain va concourir aux côtés des 16 meilleurs longs métrages produits par le cinéma pour les Prix «Al Yousr», qui ont été lancés pour célébrer l'audace et la créativité dans le cinéma. Ces œuvres cinématographiques participantes seront départagées par un jury, présidé par le réalisateur Oliver Stone, et composé de cinéastes et de professionnels les plus éminents de l'industrie cinématographique des différents pays du monde.

",https://lematin.ma/express/2022/festival-film-mer-rouge-ete-bejaad-competition/382652.html
Moussem culturel international d’Assilah : la poésie en Afrique et Amérique latine en débat,"Nadia Ouiddar,",02 novembre 2022 à 12:05,,"
«Poésie arabe et poétiques du monde du Sud : Afrique et Amérique latine» est le thème de la troisième édition de la rencontre poétique organisée dans le cadre du 43 Moussem culturel international d’Assilah qui se poursuit jusqu’au 5 novembre. Un parterre d’intellectuels, de poètes et d’académiciens marocains et étrangers a assisté, les 30 et 31 octobre, à cet événement. ces derniers ont tenté de repenser les liens d’influence entrelacés entre la poésie arabe et les poétiques africaine et latino-américaine. Les participants ont abordé des questions liées à la pensée, à l’identité, à l’histoire et à l’existence. Selon le coordinateur de la rencontre, Charafdine Majdouline, le choix de ce thème est motivé par une volonté critique d’inscrire aujourd’hui la poésie arabe dans l’un de ses cercles fondamentaux d’appartenance, et de s’arrêter de plus près sur ce qui a été réalisé à travers les efforts déployés en matière de traduction et d’études critiques comparatives.
************
Déclaration de Charafdine Majdouline, critique et professeur de l’enseignement supérieur

L’académicien marocain Charafdine Majdouline rappelle que la poésie arabe contemporaine peut être considérée comme faisant partie de la géographie intellectuelle et culturelle du «Monde du Sud» émergeant, depuis le milieu du siècle dernier, des plis du colonialisme, et constituant dès lors des noyaux culturels multilingues. Selon son analyse, les thèmes d’expressions dans cette géographie sont liés, d’une part, aux racines locales et, d’autre part, aux enjeux des discours post-coloniaux. «Certes, les langues de la poésie africaine et latino-américaine comprennent des expressions orales et autres locutions transcrites dans d’innombrables langues indigènes, bien supérieures à celles universellement en vogue aujourd’hui, écrites pour la plupart en espagnol, anglais, français et portugais. Il n’en demeure pas moins vrai que ces langues poétiques, issues de la langue même du colonisateur, ont fini par produire des poétiques singulières fortement marquées par des sonorités centrales très influentes, allant de “P. Neruda” à “L. S. Senghor”, et d’“Octavio Paz” à “Tchicaya U Tam’si”, et autres poètes, qui ont eu en commun le même facteur culturel et esthétique, de même qu’un impact sur un nombre important d’expériences poétiques arabes depuis les années soixante du siècle dernier jusqu’à nos jours».
***********
Intervention de Subhi Hadidi, critique et chercheur syrien

Subhi Hadidi a rappelé le contexte idéologique et politique de l’évolution de la poésie en Afrique et en Amérique latine et a évoqué l’influence de la modernité sur cette poésie. Pour lui, le mouvement de la modernité culturelle et intellectuelle dans le monde du Sud est lié au colonialisme et les projets de libération. Il a rappelé la non-reconnaissance de la poésie africaine en Europe ainsi que «la négritude» et les étapes de ce mouvement littéraire. Subhi Hadidi a rappelé aussi l’influence de l’espagnol, comme langue dominante en Amérique latine, sur les échanges entre poètes de la région. Les Latino-Américains ont utilisé cette langue pour échanger dans les deux sens et enrichir leurs écrits.
**********
Mohamed Benaïssa : «Nous voulons repenser les liens d'influence entre la poésie arabe et les poétiques africaine et latino-américaine»

«Les rencontres poétiques organisées lors du Moussem culturel reflètent des niveaux d'expression et des horizons d'expérimentation. Nous cherchons à célébrer l'entité du poète et à réhabiliter le dire poétique, étant donné que le Moussem culturel s’est toujours préoccupé de consolider les rapports entre la poésie et son public. Le choix de l’axe “Poésie arabe et Poétiques du Monde du Sud : l’Afrique et l’Amérique Latine” est une réponse à un désir ancré dans l'âme des poètes et de leurs lecteurs. L’objectif est de repenser encore les liens d'influence se tissant entre la poésie arabe qui renouvelle constamment sa langue, ses modes d’expressions et ses relations sémantiques et des poétiques africaine et latino-américaine, qui approfondissent leurs modes dialectiques avec l'histoire, les réalités quotidiennes et les questions relatives à la pensée, l'identité et l'existence.»
**********
Trino Cruz, poète et traducteur de Gibraltar : «Il faut briser la centralité»

«La poésie est au-dessus de toutes les géographies. Elle a besoin de liberté. Il faut dépasser tout ce sur quoi achoppe la communication culturelle et dépasser les problèmes sociétaux et politiques». Pour ce poète, il faut briser la centralité et encourager la culture de voyage et de découverte des autres cultures.

",https://lematin.ma/express/2022/moussem-culturel-dassilah-poesie-afrique-amerique-debat/382618.html
"Farid Ghannam, Daox et Abir El Abed au festival Visa For Music",LE MATIN,02 novembre 2022 à 11:05,,"
Farid Ghannam, Daox et Abir El Abed font partie des artistes marocains sélectionnés qui prendront part au festival Visa For Music qui se tiendra, du 16 au 19 novembre à Rabat.
Organisé sous le Haut Patronage de Sa Majesté le Roi Mohammed VI, le festival et marché professionnel des musiques d’Afrique et du Moyen-Orient ""Visa For Music"" a dévoilé sa sélection composée de talents d'ici et d'ailleurs. Le Maroc sera ainsi représenté par Farid Ghannam & the Cosmic Carnival (Maroc & Pays-Bas), Stranger Souma, Abir El Abed, Marmoucha Orchestra ft. Mehdi Nassouli (Pays-Bas & Maroc), Anass Oublaid, Daox, et Raste.
Les autres pays africains et le Moyen-Orient seront à l'honneur avec la participation de Fanie Fayar (R. Congo),Tenin Diawara (Guinée), Rasha Nahas (Palestine et Allemagne), Izaya (Ouganda), the Engineers (Arabie Saoudite), Saintrick (Congo & Sénégal), Mr Leo (Cameroun), Wood Sound (Bénin), Zef (Liban), Gultrah Sound System (Tunisie), Ans-T Crazy (Guinée), Bernice the Bell and the Bell Band (Burundi), Beb Diwan (Tunisie & France), Little Kesho (Rwanda), l’Orchestre féminin Kabiessi (Bénin) et Issa Dioubaté (Guinée).
L'Europe et le Canada prendront également part à cette grand-messe musicale avec Demi Portion (France), Ayrad (Canada), Pamela Badjogo (Gabon & France), Zily (Mayotte), Amara Quartet (Portugal), Ars Nova Napoli (Italie), Rokia Bamba (Belgique), Odreii (Canada & Jamaïque), Jocelyn Balu et Borumba (France & R. D. du Congo), Júlia Colom (Espagne), Samir Aouad (Maroc & France) et Aziz Konkrite (France).
Le festival Visa For Music se veut également un carrefour de rencontres professionnelles et un lieu d'échange culturel et intellectuel. Pour ce faire, l'événement s'articule également autour de conférences et de tables rondes, organisées en présence de centaines d'acteurs culturels venus de plus de 50 pays.


",https://lematin.ma/express/2022/farid-ghannam-daox-abir-el-abed-festival-visa-for-music/382641.html
«Black panther: wakanda forever» dans les salles nationales dès le 9 novembre,LE MATIN,01 novembre 2022 à 17:21,,"
«Black panther: Wakanda Forever» sera dans les salles nationales à partir du mercredi 9 novembre. Deuxième volet de la saga wakandaise, ce film est le trentième de l'univers cinématographique Marvel et le septième et dernier film de la phase IV, après «Black Widow», «Shang-Chi et la Légende des Dix Anneaux», «Les Éternels», «Spider-Man: No Way Home», «Doctor Strange in the Multiverse of Madness» et «Thor: Love and Thunder». Dans cette saga, la Reine Ramonda, Shuri, M’Baku, Okoye et les Dora Milaje luttent pour protéger leur nation des ingérences d’autres puissances mondiales après la mort du roi T’Challa. Alors que le peuple s’efforce d’aller de l’avant, nos héros vont devoir s’unir et compter sur l’aide de la mercenaire Nakia et d’Everett Ross pour faire entrer le royaume du Wakanda dans une nouvelle ère. Mais une terrible menace surgit d’un royaume caché au plus profond des océans : Talokan. «Suite à la mort soudaine de l'acteur américain Chadwick Boseman (T'Challa) en août 2020, la production n'a pas voulu reproduire l'acteur via des effets numériques, ni ré-attribuer son rôle à quelqu'un autre...», indique un communiqué de Walt Disney Company.
Dans ce film, le grand méchant Namor est incarné par l'acteur Tenoch Huerta. Ce nouveau méchant est inspiré par la culture et l'Histoire de la Méso-Amérique. Souverain du royaume englouti d'Atlantis, il est né de l'union entre un humain et une Atlante, ce qui explique qu'il ne soit pas bleu comme les autres membres de son peuple. Figure iconique du catalogue Marvel, Namor n'était encore jamais apparu sur grand écran et n'avait jusqu'ici eu droit qu'à des séries animées. «Black Panther: Wakanda Forever» marque ainsi la première apparition au cinéma de ce personnage créé en avril 1939 par Bill Everett. Considéré comme le premier mutant, il s'agit du premier héros Marvel puisqu'il est né avant «Captain America» (décembre 1940), «Spider-Man» (août 1962) ou «Iron Man» (mars 1963). Sorti en février 2018, le premier «Black Panther» campé par le roi T'Challa a été un véritable carton au box-office mondial en rapportant plus de 1,3 milliard de dollars de recettes dans le monde.

",https://lematin.ma/express/2022/black-panther-wakanda-forever-salles-9-novembre/382621.html
Des professionnels de la musique du Québec attendus au festival VFM à Rabat,LE MATIN,01 novembre 2022 à 12:43,,"Une délégation de professionnels de la musique du Québec participe, pour la première fois, au festival Visa For Music, qui se tiendra à Rabat, du 16 au 19 novembre 2022. Cette participation a pour visée d’échanger avec les professionnels marocains et de soutenir les coopérations bilatérales entre le Québec et le Maroc.

Cette grande première sera marquée par trois rendez-vous phares relatifs aux événements du programme professionnel, notamment le 18 novembre, date d’organisation des sessions de rencontres privées entre professionnels du Maroc et du Québec, et d’une réception élargie pour accueillir les diffuseurs présents au festival VFM, ainsi que la participation à un panel sur «la langue comme outil d’expression musicale» qui est prévue pour le 19 novembre.
La délégation québécoise compte une trentaine de participants, parmi lesquels des producteurs, diffuseurs, gérants d’artistes, des dirigeants d’une association professionnelle et d’une société gouvernementale. Aussi, la 9eme édition du festival accueillera l'artiste québéco-marocain Ayrad et la québécoise Odreii.
Louise Lantagne, présidente et chef de la direction de la SODEC, a déclaré dans un communiqué : «L’enthousiasme et l’intérêt des professionnels de la musique et des artistes québécois pour le Maroc sont indéniables : pour sa première participation à Visa for Music, la SODEC est fière d’accompagner, en collaboration avec le Bureau du Québec à Rabat, une cohorte de plus d’une trentaine de personnes. Les liens naturels entre le Maroc et le Québec sont multiples : nous partageons une identité francophone de même que de fortes traditions culturelles et une grande appréciation pour celles-ci. La population maghrébine est par ailleurs l’une des plus grandes communautés de la diaspora au Québec, où elle apporte une riche culture. Le marché marocain revêt donc une importance toute particulière pour le développement et le rayonnement des artistes et des entreprises d’ici et c’est une belle occasion que de pouvoir les présenter à Visa for Music, un événement de calibre international et une porte d’entrée d’exception sur l’Afrique».


",https://lematin.ma/express/2022/professionnels-musique-quebec-attendus-festival-vfm/382606.html
«Oliviers du Maroc» : une exposition sur l’oléiculture au Maroc,LE MATIN,01 novembre 2022 à 12:05,,"
Le Goethe-Institut Maroc présente jusqu'au 5 novembre à Rabat l'exposition Oliviers du Maroc qui met en lumière des photos du photographe Brahim Benkirane sur l’oléiculture au Maroc. L'événement présente environ 35 photographies de l'artiste marocain, réalisées en 2021 et 2022 à la demande du Goethe-Institut. Presque toutes les œuvres exposées ont été réalisées dans le cadre de la contribution marocaine à un projet interrégional de plusieurs Goethe-Institut autour de la Méditerranée «l'Atlas of Mediterranean Liquidity». Dans le cadre de ce projet (en cours) d'atlas numérique, on développe des cartes numériques interactives qui analysent, à l'aide de différentes approches scientifiques et artistiques, la gestion de l'eau dans la région méditerranéenne et la manière dont celle-ci est influencée par le changement climatique. La carte du Goethe-Institut Marokko, dans le cadre de ce projet interrégional, traite de la culture des olives au Maroc et la documente par des photographies de plantations d'oliviers, de l'irrigation, de la récolte, de fruits ou de la production d'huile d'olive accompagnées de faits et de chiffres informatifs. Brahim Benkirane est un photographe et artiste indépendant qui vit à Casablanca. Ingénieur de formation, il s'est d'abord intéressé à la photographie (en noir et blanc) par passion. En 2009, il décide de vivre exclusivement de son art. Depuis, ses photos sont régulièrement exposées et ont été ajoutées à plusieurs collections au Maroc.

",https://lematin.ma/express/2022/oliviers-maroc-exposition-loleiculture-maroc/382583.html
Des bâtiments emblématiques de Casablanca reproduits en carton,LE MATIN,01 novembre 2022 à 11:47,,"1.300 plaques en carton ont servi pour la conception d'une réplique de la Tour d'Horloge, réalisée par les étudiants d’écoles d’art et architecture. Une œuvre éphémère, fruit d'un partenariat entre GPC Papier et carton, l’institut français et l’artiste Olivier Grossetête.

Ce projet architectural a pris forme lors d'un événement ouvert au public qui a rassemblé des milliers de visiteurs au au centre-ville de Casablanca. La conception de cette reproduction de la Tour de l’Horloge est le fruit du talent du spécialiste dans la création et démolition d’œuvres monumentales participatives, Olivier Grossetête. Fournisseur de la matière première, GPC Papier et carton a également réalisé une réplique de plus de 4 mètres de hauteur de la porte “Bab Mansour”. Un challenge qui a nécessité plus de 10 tonnes de carton recyclé et engagé les équipes de GPC durant tout un mois.
Cette initiative artistique s'inscrit également dans une démarche écologique, puisque le carton utilisé pour cette construction sera entièrement recyclé par GPC papier et carton, sur son site de Kénitra.


",https://lematin.ma/express/2022/batiments-emblematiques-casablanca-reproduits-carton/382601.html
